ycomURL,company_name,company_tagline,company_description,URL,founded,team_size,location,founder_name_1,founder_linkedin_1,founder_name_2,founder_linkedin_2,founder_name_3,founder_linkedin_3
https://www.ycombinator.com/companies/queue,Queue,Platform for providing services online built for creatives,"Queue enables passionate people to start providing services online in the easiest way possible. We give you a beautiful portfolio that showcases your work, get feedback on your work, and get paid for your work.


**Vision**

The vision of the company is to build a platform that makes it easy for anyone from a freelancer to a large agency to run their business. We want to scale this to anyone in the passion economy. Everyone from video production studios to online esport coaches. 


**How we started**
Masud and JP founded this company in 2019 with one goal in mind. Make it extremely easy to collaborate and provide digital services. We originally released Queue to eSport coaches to review gameplay videos and is now used by thousands of coaches, video producers, and more. 
",https://queue.gg,2019,2,San Francisco,Masud Hossain,https://www.linkedin.com/in/masud-hossain-11a7baab/,Jean-Philippe Gagnon,https://www.linkedin.com/in/jean-philippe-gagnon-696a1b147/,NA,NA
https://www.ycombinator.com/companies/nototo,Nototo,A workspace with a spatial interface,"Nototo is a workspace that allows you to organize ALL of your information, on ONE map.",https://www.nototo.app,2019,3,"Vancouver, Canada",Austa Jiang,https://www.linkedin.com/in/austajiang/,Chen Wang,https://www.linkedin.com/in/userchenwang/,NA,NA
https://www.ycombinator.com/companies/creation-labs,Creation Labs,Fuel-efficient Autopilot for trucks in Europe,"We are making long haul trucking safer and more fuel efficient by developing an AI-powered Advanced Driver Assistance System (AIDAS). The system includes camera hardware mounted to the vehicle and a processing unit that can control the vehicle's brake, throttle and steering while under the supervision of a driver, augmenting their skills but not replacing them. 

Our key insight is that there is a 30% difference in fuel efficiency between the best and worst truck drivers. By training our AI ADAS system how to drive from data provided by the best drivers, the AIDAS can improve the efficiency of all drivers.",https://creationlabs.ai,2020,5,"London, United Kingdom",James Hennessey,https://www.linkedin.com/in/james-hennessey-2357391a/,Jakub Langr,http://linkedin.com/in/jakublangr,NA,NA
https://www.ycombinator.com/companies/bento,Bento,Customer onboarding as a service,"Bento empowers b2b SaaS companies to give customers great in-product onboarding, 10x faster than building it in house. From set-up, to trying out a new workflow, Bento's onboarding guides give users a home base to track progress, pull in a co-worker to help (looking at you, IT), and go back to the steps they've done before.",http://trybento.co/,2020,2,San Francisco,Emily Wang,https://www.linkedin.com/in/emilyyidanwang/,NA,NA,NA,NA
https://www.ycombinator.com/companies/seam,Seam,API for IoT Devices ,"Seam is a hardware-gateway+API that lets developers connect to 3rd party IoT devices. With Seam, devs can open doors, monitor security, control elevators, or even read energy meters.
",https://getseam.com,2020,5,San Francisco,Sy Bohy,https://www.linkedin.com/in/sybohy/,Dawn Ho,https://www.linkedin.com/in/dawnho/,NA,NA
https://www.ycombinator.com/companies/hubble,Lightdash,The open source Looker alternative ,Lightdash is an open-source Looker alternative. It's built on top of dbt and lets users centralise all their team's business logic in one place. ,http://lightdash.com/,2020,4,"London, United Kingdom",Hamzah Chaudhary,https://www.linkedin.com/in/hamzahc/,Oliver Laslett,https://www.linkedin.com/in/olaslett/,NA,NA
https://www.ycombinator.com/companies/datafold,Datafold,Monitoring & testing for analytical data,"Datafold is a data observability platform that helps Data teams move faster and with higher confidence by automating data quality analysis, monitoring, and common repetitive tasks in data engineering workflow.",https://datafold.com,2020,5,San Francisco,Gleb Mezhanskiy,https://www.linkedin.com/in/glebmezh/,Alex Morozov,NA,NA,NA
https://www.ycombinator.com/companies/depict-ai,Depict.ai,Amazon-quality product recommendations for any e-commerce store,"Amazon-quality product recommendations for any e-commerce store. 

Amazon has the best product recommendations. They use their historic sales data to create these recommendations. The problem though is that other e-commerce stores lack enough sales training data to do the same.

We've solved this problem. The Depict.ai algorithm increases overall e-commerce revenue by 4-6% for any store without needing any sales data at all. ",https://depict.ai/,2019,14,"Stockholm, Sweden",Oliver Edholm,https://linkedin.com/in/oliver-edholm-293950118/,Anton Osika,https://www.linkedin.com/in/antonosika/,NA,NA
https://www.ycombinator.com/companies/bandit-ml,Bandit ML,TBD,,https://www.banditml.com/,2019,3,San Francisco,Edoardo Conti,https://www.linkedin.com/in/edoardoconti,Joseph Gilley,https://www.linkedin.com/in/joseph-gilley-8b96b924/,Lionel Vital,https://www.linkedin.com/in/lionelvital
https://www.ycombinator.com/companies/roboflow,Roboflow,🖼️ Build a computer vision model without machine learning expertise.,"Roboflow enables software engineers to create computer vision models without machine learning expertise. Our sweet spot is replacing all the random python scripts you need to write between getting your images labeled and training your model (think: converting annotations, checking class balance, preprocessing images, and hosting datasets).

We are also building integrations with labeling tools at the front end of the flow and training tools at the back end.

Customers in industries like RPA, self driving cars, mobile apps, agriculture, medical imaging, document digitization, and manufacturing.",https://roboflow.com,2019,8,"Des Moines, IA",Brad Dwyer,https://www.linkedin.com/in/brad-dwyer-b6b4136,Joseph Nelson,https://www.linkedin.com/in/josephofiowa/,NA,NA
https://www.ycombinator.com/companies/digitalbrain,DigitalBrain,Superhuman for customer support agents,We are Digital Brain. An external layer on-top of existing helpdesks to get through support tickets twice as fast. ,https://www.digitalbrain.app,2020,6,Palo Alto,Kesava Kirupa Dinakaran,https://www.linkedin.com/in/kesavakirupa/,Dmitry Dolgopolov,https://www.linkedin.com/in/dimadolgopolovn/,NA,NA
https://www.ycombinator.com/companies/evergreen,Evergreen,"Easy purchase approvals across finance, IT, security and legal",,https://tryevergreen.com,2020,0,,Lu Cheng,https://www.linkedin.com/in/lu-cheng-973b7830/,Rujul Zaparde,https://www.linkedin.com/in/rujulz/,NA,NA
